Date,Close,Open,High,Low,Vol.,Change %
3/25/2020,79.01,80.11,83.49,76.2,27.05M,9.24%
3/24/2020,72.33,65.7,72.66,64,18.85M,15.18%
3/23/2020,62.8,65,66.88,60.58,17.69M,-6.89%
3/20/2020,67.45,71.51,74.06,67.2,15.76M,-4.11%
3/19/2020,70.34,67.04,72.71,64.15,16.18M,3.38%
3/18/2020,68.04,64.79,68.33,60,19.50M,-2.58%
3/17/2020,69.84,67.51,73.33,62.4,17.12M,4.57%
3/16/2020,66.79,65.28,72.97,63.37,17.98M,-11.63%
3/13/2020,75.58,78.2,78.2,71.76,21.86M,1.86%
3/12/2020,74.2,78.23,78.49,73,21.53M,-11.67%
3/11/2020,84,84,84.62,82.07,16.17M,-4.87%
3/10/2020,88.3,86.69,88.4,82.88,12.76M,4.98%
3/9/2020,84.11,81.89,86.74,80.92,13.27M,-4.81%
3/6/2020,88.36,88.36,89.39,85.88,12.34M,-2.45%
3/5/2020,90.58,91.26,91.68,89.94,8.85M,-3.42%
3/4/2020,93.79,92.08,93.82,90.84,6.90M,3.15%
3/3/2020,90.93,92.74,94.98,90.57,14.77M,-1.89%
3/2/2020,92.68,89.6,93.14,87.91,14.10M,3.69%
2/28/2020,89.38,86.03,89.47,85.15,16.57M,0.94%
2/27/2020,88.55,90,93.06,88.5,12.83M,-3.75%
2/26/2020,92,93.08,94.65,91.99,9.31M,-0.97%
2/25/2020,92.9,96.35,96.76,92.62,9.60M,-3.14%
2/24/2020,95.91,95.54,97.07,95.25,8.36M,-4.33%
2/21/2020,100.25,102,102.08,99.63,5.75M,-2.22%
2/20/2020,102.53,102.46,102.63,100.55,6.43M,0.07%
2/19/2020,102.46,102.66,103.39,102.43,6.20M,0.45%
2/18/2020,102,103,103.38,101.61,4.92M,-1.49%
2/14/2020,103.54,103.53,103.89,102.44,4.31M,0.16%
2/13/2020,103.37,102.51,103.74,101.68,5.39M,0.36%
2/12/2020,103,100.74,103.08,100.44,8.08M,2.98%
2/11/2020,100.02,100.07,100.35,99.44,4.87M,0.00%
2/10/2020,100.02,99.22,100.51,99,4.21M,0.58%
2/7/2020,99.44,99.81,100.4,98.97,4.12M,-0.83%
2/6/2020,100.27,100.9,101.53,100.16,5.64M,-0.27%
2/5/2020,100.54,101.76,101.97,99.53,6.11M,-0.83%
2/4/2020,101.38,101.91,102.78,101.26,6.56M,2.13%
2/3/2020,99.27,99,100.92,98.57,9.73M,3.08%
1/31/2020,96.3,98.11,98.45,95.92,8.78M,-1.92%
1/30/2020,98.19,99.02,99.75,97.37,7.07M,-1.65%
1/29/2020,99.84,101.07,101.3,99.17,4.50M,-0.57%
1/28/2020,100.41,100.34,101.05,99.52,5.67M,0.17%
1/27/2020,100.24,98.21,100.71,98.01,9.84M,-1.75%
1/24/2020,102.03,103.59,103.89,101.66,3.84M,-0.96%
1/23/2020,103.02,104.03,104.37,102.62,7.10M,-1.41%
1/22/2020,104.49,105,105.62,104.42,5.03M,-0.09%
1/21/2020,104.58,104.25,104.69,103.81,4.85M,0.05%
1/17/2020,104.53,103.43,104.55,103.34,6.27M,1.12%
1/16/2020,103.37,102.88,103.57,102.85,6.57M,0.56%
1/15/2020,102.79,103.25,103.7,102.47,4.21M,-0.13%
1/14/2020,102.92,102.45,103.89,102.35,5.09M,0.74%
1/13/2020,102.16,101,102.34,100.82,6.72M,1.25%
1/10/2020,100.9,101.89,101.93,100.76,5.14M,-0.57%
1/9/2020,101.48,101.94,102.41,101.39,5.01M,-0.07%
1/8/2020,101.55,101.31,102.14,100.85,4.94M,-0.23%
1/7/2020,101.78,101.81,102.74,100.81,6.82M,-0.05%
1/6/2020,101.83,100.95,101.84,100.87,4.61M,-0.09%
1/3/2020,101.92,100.59,102,100.31,4.54M,-0.27%
1/2/2020,102.2,101.36,102.21,101.02,5.64M,0.88%
12/31/2019,101.31,100.58,101.39,100.51,3.21M,0.51%
12/30/2019,100.8,101.54,101.61,100.46,3.50M,-0.76%
12/27/2019,101.57,101,101.79,100.99,5.31M,0.85%
12/26/2019,100.71,100.34,100.75,100.11,3.71M,0.57%
12/24/2019,100.14,99.83,100.66,99.76,3.33M,0.10%
12/23/2019,100.04,100.23,100.69,99.55,6.35M,0.08%
12/20/2019,99.96,101,101.4,98.85,17.65M,-1.18%
12/19/2019,101.15,100.5,101.27,99.63,12.37M,0.58%
12/18/2019,100.57,100.19,100.79,99.58,7.34M,0.92%
12/17/2019,99.65,99.38,100.17,99.05,7.05M,0.85%
12/16/2019,98.81,98.14,99.34,98.06,8.21M,1.06%
12/13/2019,97.77,97.43,98.29,96.91,5.25M,0.05%
12/12/2019,97.72,97.32,98.18,96.9,4.76M,0.56%
12/11/2019,97.18,96.9,97.32,96.65,4.32M,0.18%
12/10/2019,97.01,96.76,97.59,96.63,4.23M,0.39%
12/9/2019,96.63,97.02,97.63,96.16,6.58M,-0.38%
12/6/2019,97,96.56,97.31,96.38,6.37M,1.26%
12/5/2019,95.79,95.88,95.95,94.68,6.95M,2.21%
12/4/2019,93.72,92.81,93.79,92.73,4.46M,1.36%
12/3/2019,92.46,92.48,92.55,91.31,6.00M,-1.18%
12/2/2019,93.56,94.09,94.28,92.98,3.89M,0.07%
11/29/2019,93.49,94.37,94.61,93.39,2.54M,-0.69%
11/27/2019,94.14,93.5,94.38,93.5,4.02M,0.87%
11/26/2019,93.33,93.38,93.63,93.02,5.91M,0.46%
11/25/2019,92.9,93.78,93.97,92.74,5.42M,-0.47%
11/22/2019,93.34,92.21,93.35,91.93,4.26M,1.28%
11/21/2019,92.16,92.62,93.3,92.07,5.49M,-0.96%
11/20/2019,93.05,94.11,94.4,92.77,6.24M,-0.60%
11/19/2019,93.61,94.61,95.12,93.06,5.38M,-0.61%
11/18/2019,94.18,93.5,94.26,92.91,6.17M,1.23%
11/15/2019,93.04,92.14,93.56,91.96,6.79M,1.94%
11/14/2019,91.27,91.49,91.96,90.72,6.04M,-0.02%
11/13/2019,91.29,89.73,91.55,89.57,5.96M,2.00%
11/12/2019,89.5,90.31,92.03,89.49,3.98M,-0.61%
11/11/2019,90.05,89.37,90.1,89.37,3.25M,0.27%
11/8/2019,89.81,90.28,90.35,89.29,4.56M,-0.65%
11/7/2019,90.4,90.47,90.6,89.77,7.11M,1.03%
11/6/2019,89.48,90.64,90.72,88.74,7.03M,-0.45%
11/5/2019,89.88,90.15,90.33,89.54,5.59M,0.02%
11/4/2019,89.86,90.13,90.56,89.32,8.16M,0.76%
11/1/2019,89.18,90.18,90.53,89,5.26M,-0.41%
10/31/2019,89.55,90,90.41,88.94,6.75M,-0.71%
10/30/2019,90.19,89.45,90.27,89.35,8.13M,1.02%
10/29/2019,89.28,90.85,90.92,89.13,9.04M,-1.73%
10/28/2019,90.85,91.06,91.3,90.17,10.30M,-0.08%
10/25/2019,90.92,91.44,91.83,90.75,8.15M,-0.63%
10/24/2019,91.5,92.68,92.87,90.99,12.13M,-0.89%
10/23/2019,92.32,95.03,95.54,92.12,11.99M,-3.43%
10/22/2019,95.6,96.06,96.83,95.52,5.49M,-0.64%
10/21/2019,96.22,96.61,96.87,95.42,5.37M,0.12%
10/18/2019,96.1,94.81,96.45,94.8,6.21M,0.57%
10/17/2019,95.56,95.56,95.89,94.97,3.45M,0.72%
10/16/2019,94.88,94.09,95.14,94.07,4.89M,0.09%
10/15/2019,94.79,95,95.18,94.12,4.30M,-0.09%
10/14/2019,94.88,94.2,95.25,94.05,4.71M,1.07%
