Date,Close,Open,High,Low,Vol.,Change %
8/6/2020,75.25,73.81,75.31,73.6,33.31M,1.75%
8/5/2020,73.95,73.84,74.5,73.56,29.15M,0.39%
8/4/2020,73.67,74.34,74.66,73.2,37.21M,-0.64%
8/3/2020,74.14,74.55,74.89,73.59,45.52M,-0.35%
7/31/2020,74.4,74.85,75.25,72.7,91.53M,-3.28%
7/30/2020,76.92,74.9,77.04,74.76,36.04M,0.97%
7/29/2020,76.18,75.25,76.67,75.15,22.68M,1.33%
7/28/2020,75.18,76.25,76.3,75.03,30.91M,-1.69%
7/27/2020,76.47,75.66,76.88,75.62,27.12M,1.41%
7/24/2020,75.41,74.96,75.77,74.38,29.91M,-0.57%
7/23/2020,75.84,78.3,78.52,75.43,33.91M,-3.07%
7/22/2020,78.24,77.79,78.35,77.16,24.48M,0.57%
7/21/2020,77.8,79.25,79.35,77.63,27.55M,-0.50%
7/20/2020,78.19,75.75,78.45,75.13,30.17M,3.10%
7/17/2020,75.84,75.85,76.17,74.91,34.26M,0.12%
7/16/2020,75.75,75.08,75.8,74.41,26.48M,-0.12%
7/15/2020,75.84,76.16,76.82,74.89,31.03M,-0.26%
7/14/2020,76.04,74.64,76.14,74.3,38.11M,0.57%
7/13/2020,75.61,77.5,78.82,75.33,42.95M,-1.74%
7/10/2020,76.95,75.66,77.07,75.04,35.92M,1.34%
7/9/2020,75.93,75.5,76.46,74.78,41.84M,1.00%
7/8/2020,75.18,75.04,75.56,74.61,31.77M,0.91%
7/7/2020,74.5,74.81,76.07,74.48,42.36M,-0.64%
7/6/2020,74.98,74.41,75.5,73.85,44.71M,2.01%
7/2/2020,73.5,72.59,74.43,72.55,57.22M,1.94%
7/1/2020,72.1,70.96,72.42,70.71,42.18M,1.69%
6/30/2020,70.9,69.84,71.2,69.35,40.29M,1.49%
6/29/2020,69.86,68.02,69.9,67.58,45.07M,2.54%
6/26/2020,68.13,71.63,71.85,67.75,97.64M,-5.45%
6/25/2020,72.06,71.56,72.12,70.98,23.96M,0.59%
6/24/2020,71.64,73.16,73.79,71.5,31.59M,-2.13%
6/23/2020,73.2,72.6,73.76,72.25,37.75M,0.92%
6/22/2020,72.53,71.25,72.55,70.96,29.44M,1.83%
6/19/2020,71.23,72,72.22,70.95,52.78M,-0.67%
6/18/2020,71.71,72.49,72.65,71.31,34.86M,-1.27%
6/17/2020,72.63,72.65,73.11,71.76,30.61M,0.43%
6/16/2020,72.32,72.45,72.86,71.45,30.70M,1.80%
6/15/2020,71.04,69.47,71.25,69.36,30.55M,0.55%
6/12/2020,70.65,71.29,71.73,69.29,36.68M,0.80%
6/11/2020,70.09,72.05,72.58,69.92,47.14M,-4.29%
6/10/2020,73.23,73.08,73.64,72.72,31.76M,0.87%
6/9/2020,72.6,72.26,73.39,72.12,33.62M,0.28%
6/8/2020,72.4,71.31,72.45,71.22,33.88M,0.56%
6/5/2020,72,70.78,72.31,70.38,42.65M,1.81%
6/4/2020,70.72,71.84,72.07,70.3,26.98M,-1.72%
6/3/2020,71.96,72.14,72.45,71.58,27.73M,-0.22%
6/2/2020,72.12,71.75,72.15,71.08,23.44M,0.53%
6/1/2020,71.74,71.28,72.08,71.11,25.19M,0.08%
5/29/2020,71.68,71.02,71.84,70.8,37.05M,1.09%
5/28/2020,70.91,70,72.22,69.95,35.20M,-0.14%
5/27/2020,71.01,71,71.27,69.73,31.68M,-0.08%
5/26/2020,71.07,72.1,72.26,70.97,44.59M,0.58%
5/22/2020,70.66,70.19,70.85,69.8,28.54M,0.45%
5/21/2020,70.34,70.55,70.82,69.72,30.90M,-0.17%
5/20/2020,70.46,69.46,70.6,69.37,38.26M,2.53%
5/19/2020,68.72,69.27,69.62,68.69,31.59M,-0.78%
5/18/2020,69.26,68.08,69.64,67.71,47.13M,0.89%
5/15/2020,68.65,67.41,68.73,66.95,41.54M,1.19%
5/14/2020,67.84,66.68,67.87,66.17,36.66M,0.62%
5/13/2020,67.42,68.81,69.27,66.4,40.37M,-1.95%
5/12/2020,68.76,70.41,70.72,68.73,33.92M,-2.02%
5/11/2020,70.18,68.84,70.78,68.78,32.72M,1.39%
5/8/2020,69.22,69.09,69.83,68.6,33.33M,1.11%
5/7/2020,68.46,68.07,68.8,67.63,30.72M,1.77%
5/6/2020,67.27,67.9,68.43,67.26,31.73M,-0.27%
5/5/2020,67.45,66.88,68.55,66.75,39.67M,1.98%
5/4/2020,66.14,65.41,66.22,64.8,30.81M,0.41%
5/1/2020,65.87,66.2,67.57,65.48,48.87M,-2.17%
4/30/2020,67.33,66.57,67.5,66.08,55.84M,0.33%
4/29/2020,67.11,67.25,68.01,66.34,108.36M,8.89%
4/28/2020,61.63,64.16,64.24,61.52,80.70M,-3.01%
4/27/2020,63.54,64.6,64.7,63.25,44.19M,-0.45%
4/24/2020,63.83,62.75,63.89,62.2,37.44M,0.42%
4/23/2020,63.56,63.29,64.41,63.03,34.20M,1.02%
4/22/2020,62.92,62.06,63.99,61.86,46.32M,3.81%
4/21/2020,60.61,62.14,62.5,60.25,49.65M,-3.89%
4/20/2020,63.06,63.49,63.84,62.82,35.29M,-1.39%
4/17/2020,63.95,64.08,64.5,63.3,51.06M,1.72%
4/16/2020,62.87,63.36,63.67,61.91,57.90M,0.00%
4/15/2020,62.87,62.33,63.76,61.7,42.24M,-0.62%
4/14/2020,63.26,62,63.79,61.43,63.36M,4.53%
4/13/2020,60.52,60.08,60.73,59.12,38.70M,0.31%
4/9/2020,60.33,60.91,61.1,59.62,54.03M,-0.03%
4/8/2020,60.35,60.16,60.74,59.2,40.33M,2.06%
4/7/2020,59.13,60.85,61.04,58.86,61.62M,-0.05%
4/6/2020,59.16,56.65,59.54,56.25,63.32M,8.29%
4/3/2020,54.63,55.74,55.94,53.75,51.37M,-2.18%
4/2/2020,55.85,55,56.14,54.66,56.41M,1.36%
4/1/2020,55.1,56.2,56.47,54.67,51.97M,-5.16%
3/31/2020,58.1,57.44,58.67,56.84,65.28M,1.36%
3/30/2020,57.32,56.63,57.55,54.92,58.74M,3.26%
3/27/2020,55.51,56.37,57.55,55.2,62.79M,-4.54%
3/26/2020,58.15,55.74,58.57,54.6,76.69M,5.57%
3/25/2020,55.08,56.23,57.31,54.15,90.32M,-2.51%
3/24/2020,56.5,55.2,56.67,54.32,72.47M,7.19%
3/23/2020,52.71,52.82,53.35,50.44,83.67M,-1.31%
3/20/2020,53.41,56.55,56.92,53.1,82.88M,-3.90%
3/19/2020,55.58,54.41,57.63,52.78,74.06M,1.87%
3/18/2020,54.56,53,55.25,51.85,93.04M,-2.40%
3/17/2020,55.9,54.53,56.3,52.45,83.19M,4.19%
3/16/2020,53.65,54.48,57.27,53.35,96.52M,-11.63%
3/13/2020,60.71,58.75,60.72,55.61,79.40M,9.23%
3/12/2020,55.58,56.13,59.44,55.42,94.33M,-8.21%
3/11/2020,60.55,62.41,62.85,59.56,54.83M,-5.03%
3/10/2020,63.76,62.72,63.79,60.73,54.87M,4.89%
3/9/2020,60.79,60.25,62.64,59.9,69.25M,-6.17%
3/6/2020,64.79,63.5,65.14,62.86,64.65M,-1.45%
3/5/2020,65.74,67.28,67.68,65.08,54.38M,-4.83%
3/4/2020,69.08,67.95,69.14,66.85,47.60M,3.27%
3/3/2020,66.89,69.88,70.41,66.46,56.60M,-3.51%
3/2/2020,69.32,67.57,69.37,66.26,55.43M,3.52%
2/28/2020,66.96,63.72,67.12,63.41,80.22M,1.84%
2/27/2020,65.75,67.96,68.47,65.71,62.29M,-5.42%
2/26/2020,69.52,69.75,70.68,68.83,49.80M,0.29%
2/25/2020,69.32,71.55,71.84,69.02,51.58M,-2.35%
2/24/2020,70.99,71.15,71.82,70.34,49.56M,-4.29%
2/21/2020,74.17,75.23,75.55,73.92,42.54M,-2.21%
2/20/2020,75.85,75.95,76.35,75.21,25.97M,-0.51%
2/19/2020,76.24,76.36,76.54,76.05,22.75M,0.36%
2/18/2020,75.97,75.72,76.53,75.55,25.68M,0.04%
2/14/2020,75.94,75.73,76,75.28,23.20M,0.36%
2/13/2020,75.67,75.5,76.3,75.2,22.91M,-0.34%
2/12/2020,75.93,75.79,76.02,75.43,31.04M,0.57%
2/11/2020,75.5,75.66,76.49,75.27,34.85M,0.09%
2/10/2020,75.43,73.86,75.44,73.76,38.30M,1.99%
2/7/2020,73.96,73.37,74.26,73.27,28.36M,0.22%
2/6/2020,73.8,72.6,74.08,72.52,37.82M,2.07%
2/5/2020,72.3,73.18,73.23,71.48,36.38M,0.04%
2/4/2020,72.27,72.72,73.37,71.1,95.88M,-2.51%
2/3/2020,74.13,73.08,74.31,72.83,72.18M,3.48%
1/31/2020,71.64,73.39,73.48,71.35,43.82M,-1.47%
1/30/2020,72.71,71.91,72.76,71.75,27.11M,-0.16%
1/29/2020,72.83,72.92,73.21,72.27,21.64M,0.41%
1/28/2020,72.53,72.09,72.74,71.52,29.73M,1.31%
1/27/2020,71.59,71.58,71.83,70.97,34.13M,-2.35%
1/24/2020,73.31,74.64,74.71,73.16,29.79M,-1.24%
1/23/2020,74.23,74.38,74.67,74.02,26.65M,0.03%
1/22/2020,74.21,74.49,75.03,74.13,28.46M,0.13%
1/21/2020,74.11,73.95,74.49,73.51,48.93M,0.18%
1/17/2020,73.98,73.13,74.03,72.83,52.42M,2.03%
1/16/2020,72.51,72.27,72.53,72,26.08M,0.76%
1/15/2020,71.96,71.65,72.04,71.58,21.55M,0.60%
1/14/2020,71.53,72,72.13,71.39,26.11M,-0.65%
1/13/2020,72,71.76,72.07,71.27,30.75M,0.77%
1/10/2020,71.45,71.47,71.75,70.98,26.26M,0.65%
1/9/2020,70.99,71.1,71.43,70.51,33.23M,1.05%
1/8/2020,70.25,69.74,70.59,69.63,35.33M,0.70%
1/7/2020,69.76,70.02,70.17,69.58,34.53M,-0.19%
1/6/2020,69.89,67.58,69.92,67.55,46.79M,2.66%
1/3/2020,68.08,67.4,68.69,67.37,23.41M,-0.51%
1/2/2020,68.43,67.42,68.43,67.32,27.29M,2.18%
12/31/2019,66.97,66.79,67.03,66.61,19.52M,-0.03%
12/30/2019,66.99,67.84,67.85,66.89,20.01M,-1.09%
12/27/2019,67.73,68.2,68.35,67.65,23.22M,-0.57%
12/26/2019,68.12,67.33,68.16,67.28,23.68M,1.34%
12/24/2019,67.22,67.51,67.6,67.21,13.47M,-0.46%
12/23/2019,67.53,67.94,68.09,67.4,19.94M,-0.04%
12/20/2019,67.56,68.16,68.2,67.54,50.28M,-0.38%
12/19/2019,67.82,67.6,67.88,67.44,30.42M,0.33%
12/18/2019,67.6,67.85,67.97,67.52,23.33M,-0.21%
12/17/2019,67.74,68.12,68.22,67.54,32.97M,-0.43%
12/16/2019,68.03,67.75,68.18,67.53,28.13M,1.02%
12/13/2019,67.34,67.39,67.57,67.08,33.17M,-0.12%
12/12/2019,67.42,67.16,67.73,66.91,29.13M,0.31%
12/11/2019,67.21,67.42,67.49,67.06,20.49M,0.10%
12/10/2019,67.14,67,67.4,66.7,17.61M,-0.01%
12/9/2019,67.15,66.94,67.88,66.8,31.14M,0.27%
12/6/2019,66.97,66.64,67.12,66.56,32.97M,0.93%
12/5/2019,66.35,66.35,66.4,65.72,24.41M,0.61%
12/4/2019,65.95,65.31,66.21,65.15,35.53M,1.87%
12/3/2019,64.74,63.93,64.86,63.85,29.60M,0.47%
12/2/2019,64.44,65.13,65.27,64.02,26.58M,-1.17%
11/29/2019,65.2,65.33,65.5,65.16,12.80M,-0.62%
11/27/2019,65.61,65.77,65.88,65.47,18.81M,-0.06%
11/26/2019,65.65,65.5,65.7,65.2,21.94M,0.57%
11/25/2019,65.28,64.81,65.52,64.78,23.59M,0.93%
11/22/2019,64.68,65.15,65.34,64.47,27.78M,-0.51%
11/21/2019,65.01,64.96,65.56,64.54,25.55M,-0.12%
11/20/2019,65.09,65.57,65.66,64.46,28.92M,-0.82%
11/19/2019,65.63,66.33,66.33,65.59,21.87M,-0.55%
11/18/2019,65.99,66.62,66.7,65.81,27.99M,-1.03%
11/15/2019,66.68,65.75,66.68,65.59,39.30M,1.86%
11/14/2019,65.46,64.75,65.79,64.7,29.00M,1.00%
11/13/2019,64.81,64.66,65.13,64.61,18.72M,-0.08%
11/12/2019,64.86,64.93,65.47,64.71,28.89M,-0.08%
11/11/2019,64.91,65.2,65.25,64.79,17.24M,-0.83%
11/8/2019,65.45,65.08,65.86,65.08,30.44M,0.15%
11/7/2019,65.35,64.71,66.13,64.69,45.14M,1.24%
11/6/2019,64.55,64.5,64.65,64.11,24.63M,-0.03%
11/5/2019,64.57,64.56,64.86,64.47,25.15M,0.14%
11/4/2019,64.48,63.81,64.62,63.81,30.63M,1.37%
11/1/2019,63.61,63.29,63.65,62.99,28.81M,1.06%
10/31/2019,62.94,63,63.33,62.47,31.90M,-0.14%
10/30/2019,63.03,62.76,63.4,62.53,29.20M,0.00%
10/29/2019,63.03,63.8,64.04,62.78,52.65M,-2.20%
10/28/2019,64.45,63.75,64.96,63.62,65.43M,1.95%
10/25/2019,63.22,62.6,63.4,62.46,27.10M,0.41%
10/24/2019,62.96,62.96,63.15,62.62,22.81M,0.13%
10/23/2019,62.88,62.01,62.9,62.01,23.53M,1.32%
10/22/2019,62.06,62.22,62.44,61.99,25.64M,-0.24%
10/21/2019,62.21,62.44,62.68,62,20.60M,-0.02%
10/18/2019,62.22,62.73,62.91,62.01,31.65M,-0.67%
10/17/2019,62.64,62.57,63.19,62.49,21.28M,0.79%
10/16/2019,62.15,62.09,62.71,61.93,23.02M,0.06%
10/15/2019,62.11,61.08,62.36,61.05,30.54M,2.00%
10/14/2019,60.89,60.69,61.29,60.59,13.68M,0.16%
10/11/2019,60.79,61.2,61.44,60.68,22.53M,0.53%
10/10/2019,60.47,59.93,60.78,59.89,13.36M,0.58%
10/9/2019,60.12,60.07,60.42,59.91,16.26M,1.03%
10/8/2019,59.51,59.94,60.34,59.47,20.65M,-1.49%
10/7/2019,60.41,60.35,60.95,60.22,17.58M,-0.23%
10/4/2019,60.55,59.71,60.62,59.55,24.57M,1.82%
10/3/2019,59.47,59.17,59.55,58.16,29.39M,0.97%
